_GENOME_ACCESSION_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_	_REFSEQ_ANN_REPORT_URL_	assembly_name
GCA_000524195.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA182977/echinococcus_granulosus.PRJNA182977.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA182977/echinococcus_granulosus.PRJNA182977.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA182977	ASM52419v1
GCA_000699445.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/PRJNA78265/schistosoma_haematobium.PRJNA78265.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/PRJNA78265/schistosoma_haematobium.PRJNA78265.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/PRJNA78265	UoM_Shae.V3
GCA_944474145.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dicrocoelium_dendriticum/PRJEB44434/dicrocoelium_dendriticum.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dicrocoelium_dendriticum/PRJEB44434/dicrocoelium_dendriticum.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dicrocoelium_dendriticum/PRJEB44434	tdDicDend1.1
GCA_948099385.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/fasciola_hepatica/PRJEB58756/fasciola_hepatica.PRJEB58756.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/fasciola_hepatica/PRJEB58756/fasciola_hepatica.PRJEB58756.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/fasciola_hepatica/PRJEB58756	FhHiC23
GCA_944470545.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD1_PRJEB44434/heterobilharzia_americana.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD1_PRJEB44434/heterobilharzia_americana.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD1_PRJEB44434	tdHetHame1.1
GCA_944470425.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD1_PRJEB44434/schistosoma_bovis.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD1_PRJEB44434/schistosoma_bovis.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD1_PRJEB44434	tdSchBovi1.1
GCA_944474815.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_curassoni/PRJEB44434/schistosoma_curassoni.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_curassoni/PRJEB44434/schistosoma_curassoni.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_curassoni/PRJEB44434	tdSchCurr1.1
GCA_944470375.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_guineensis/PRJEB44434/schistosoma_guineensis.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_guineensis/PRJEB44434/schistosoma_guineensis.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_guineensis/PRJEB44434	tdSchGuin1.1
GCA_944470455.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD1_PRJEB44434/schistosoma_haematobium.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD1_PRJEB44434/schistosoma_haematobium.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD1_PRJEB44434	tdSchHaem1.1
GCA_944470365.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD1_PRJEB44434/schistosoma_intercalatum.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD1_PRJEB44434/schistosoma_intercalatum.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD1_PRJEB44434	tdSchInte1.1
GCA_944470205.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_margrebowiei/PRJEB44434/schistosoma_margrebowiei.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_margrebowiei/PRJEB44434/schistosoma_margrebowiei.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_margrebowiei/PRJEB44434	tdSchMarg1.1
GCA_944470405.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_mattheei/PRJEB44434/schistosoma_mattheei.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_mattheei/PRJEB44434/schistosoma_mattheei.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_mattheei/PRJEB44434	tdSchMatt1.1
GCA_944470415.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_rodhaini/TD1_PRJEB44434/schistosoma_rodhaini.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_rodhaini/TD1_PRJEB44434/schistosoma_rodhaini.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_rodhaini/TD1_PRJEB44434	tdSchRodh1.1
GCA_944472135.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichobilharzia_regenti/PRJEB44434/trichobilharzia_regenti.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichobilharzia_regenti/PRJEB44434/trichobilharzia_regenti.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichobilharzia_regenti/PRJEB44434	tdTriRege1.1
GCA_944472155.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichobilharzia_szidati/PRJEB44434/trichobilharzia_szidati.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichobilharzia_szidati/PRJEB44434/trichobilharzia_szidati.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichobilharzia_szidati/PRJEB44434	tdTriSzid1.1
GCA_900617975.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_nana/PRJEB508/hymenolepis_nana.PRJEB508.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_nana/PRJEB508/hymenolepis_nana.PRJEB508.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_nana/PRJEB508	H_nana_Japan_0011_upd
GCA_944470555.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD2_PRJEB44434/heterobilharzia_americana.TD2_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD2_PRJEB44434/heterobilharzia_americana.TD2_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD2_PRJEB44434	tdHetHame2.1
GCA_944470445.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD2_PRJEB44434/schistosoma_bovis.TD2_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD2_PRJEB44434/schistosoma_bovis.TD2_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD2_PRJEB44434	tdSchBovi2.1
GCA_944470465.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD2_PRJEB44434/schistosoma_haematobium.TD2_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD2_PRJEB44434/schistosoma_haematobium.TD2_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD2_PRJEB44434	tdSchHaem2.1
GCA_944470385.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD2_PRJEB44434/schistosoma_intercalatum.TD2_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD2_PRJEB44434/schistosoma_intercalatum.TD2_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD2_PRJEB44434	tdSchInte2.1
GCA_944470435.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_rodhaini/TD2_PRJEB44434/schistosoma_rodhaini.TD2_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_rodhaini/TD2_PRJEB44434/schistosoma_rodhaini.TD2_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_rodhaini/TD2_PRJEB44434	tdSchRodh2.1
GCA_900536415.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_quiockensis/PRJEB11354/caenorhabditis_quiockensis.PRJEB11354.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_quiockensis/PRJEB11354/caenorhabditis_quiockensis.PRJEB11354.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_quiockensis/PRJEB11354	CQUIO_v1
