_GENOME_ACCESSION_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_	_REFSEQ_ANN_REPORT_URL_	assembly_name
GCA_900536325.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_sulstoni/PRJEB12601/caenorhabditis_sulstoni.PRJEB12601.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_sulstoni/PRJEB12601/caenorhabditis_sulstoni.PRJEB12601.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_sulstoni/PRJEB12601	CSULS_v1
GCA_900536305.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_tribulationis/PRJEB12608/caenorhabditis_tribulationis.PRJEB12608.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_tribulationis/PRJEB12608/caenorhabditis_tribulationis.PRJEB12608.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_tribulationis/PRJEB12608	CTRIB_v1
GCA_900536295.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_uteleia/PRJEB12600/caenorhabditis_uteleia.PRJEB12600.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_uteleia/PRJEB12600/caenorhabditis_uteleia.PRJEB12600.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_uteleia/PRJEB12600	CUTEL_v1
GCA_900536345.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_waitukubuli/PRJEB12602/caenorhabditis_waitukubuli.PRJEB12602.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_waitukubuli/PRJEB12602/caenorhabditis_waitukubuli.PRJEB12602.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_waitukubuli/PRJEB12602	CWAIT_v1
GCA_900536285.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_zanzibari/PRJEB12596/caenorhabditis_zanzibari.PRJEB12596.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_zanzibari/PRJEB12596/caenorhabditis_zanzibari.PRJEB12596.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_zanzibari/PRJEB12596	CZANZ_v1
GCA_902829315.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_bovis/PRJEB34497/caenorhabditis_bovis.PRJEB34497.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_bovis/PRJEB34497/caenorhabditis_bovis.PRJEB34497.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_bovis/PRJEB34497	CBOVIS_v1.1
GCA_900625125.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dracunculus_medinensis/PRJEB500/dracunculus_medinensis.PRJEB500.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dracunculus_medinensis/PRJEB500/dracunculus_medinensis.PRJEB500.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dracunculus_medinensis/PRJEB500	D_medinensis_Ghana_0011_upd
GCA_900184235.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/oscheius_tipulae/PRJEB15512/oscheius_tipulae.PRJEB15512.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/oscheius_tipulae/PRJEB15512/oscheius_tipulae.PRJEB15512.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/oscheius_tipulae/PRJEB15512	Oscheius tipulae assembly v2
GCA_000757645.3	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/steinernema_carpocapsae/PRJNA202318/steinernema_carpocapsae.PRJNA202318.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/steinernema_carpocapsae/PRJNA202318/steinernema_carpocapsae.PRJNA202318.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/steinernema_carpocapsae/PRJNA202318	ASM75764v3
GCA_000936265.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/strongyloides_papillosus/PRJEB525/strongyloides_papillosus.PRJEB525.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/strongyloides_papillosus/PRJEB525/strongyloides_papillosus.PRJEB525.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/strongyloides_papillosus/PRJEB525	S_papillosus_LIN
GCA_000612645.2	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichuris_muris/PRJEB126/trichuris_muris.PRJEB126.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichuris_muris/PRJEB126/trichuris_muris.PRJEB126.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trichuris_muris/PRJEB126	T_muris_v2
GCA_010183535.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_remanei/PRJNA577507/caenorhabditis_remanei.PRJNA577507.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_remanei/PRJNA577507/caenorhabditis_remanei.PRJNA577507.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/caenorhabditis_remanei/PRJNA577507	CRPX506
GCA_031761385.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/necator_americanus/PRJNA1007425/necator_americanus.PRJNA1007425.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/necator_americanus/PRJNA1007425/necator_americanus.PRJNA1007425.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/necator_americanus/PRJNA1007425	Nec_am_Ar_1.0
