_GENOME_ACCESSION_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_	_REFSEQ_ANN_REPORT_URL_
GCA_030247985.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/epsilonema_zab32/PRJNA953805/epsilonema_zab32.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/epsilonema_zab32/PRJNA953805/epsilonema_zab32.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/epsilonema_zab32/PRJNA953805
GCA_030248175.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/microlaimidae_yzb23/PRJNA953805/microlaimidae_yzb23.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/microlaimidae_yzb23/PRJNA953805/microlaimidae_yzb23.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/microlaimidae_yzb23/PRJNA953805
GCA_900618415.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/soboliphyme_baturini/PRJEB516/soboliphyme_baturini.PRJEB516.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/soboliphyme_baturini/PRJEB516/soboliphyme_baturini.PRJEB516.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/soboliphyme_baturini/PRJEB516
GCA_900617775.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dibothriocephalus_latus/PRJEB1206/dibothriocephalus_latus.PRJEB1206.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dibothriocephalus_latus/PRJEB1206/dibothriocephalus_latus.PRJEB1206.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dibothriocephalus_latus/PRJEB1206
GCA_900618435.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistocephalus_solidus/PRJEB527/schistocephalus_solidus.PRJEB527.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistocephalus_solidus/PRJEB527/schistocephalus_solidus.PRJEB527.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistocephalus_solidus/PRJEB527
GCA_000951995.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/spirometra_erinaceieuropaei/PRJEB1202/spirometra_erinaceieuropaei.PRJEB1202.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/spirometra_erinaceieuropaei/PRJEB1202/spirometra_erinaceieuropaei.PRJEB1202.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/spirometra_erinaceieuropaei/PRJEB1202
GCA_030248295.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesodorylaimus_yzb24/PRJNA953805/mesodorylaimus_yzb24.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesodorylaimus_yzb24/PRJNA953805/mesodorylaimus_yzb24.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesodorylaimus_yzb24/PRJNA953805
GCA_030248215.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/enoplolaimus_lenunculus/PRJNA953805/enoplolaimus_lenunculus.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/enoplolaimus_lenunculus/PRJNA953805/enoplolaimus_lenunculus.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/enoplolaimus_lenunculus/PRJNA953805
GCA_030248225.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trileptium_ribeirensis/PRJNA953805/trileptium_ribeirensis.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trileptium_ribeirensis/PRJNA953805/trileptium_ribeirensis.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trileptium_ribeirensis/PRJNA953805
GCA_030248195.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trissonchulus_latispiculum/PRJNA953805/trissonchulus_latispiculum.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trissonchulus_latispiculum/PRJNA953805/trissonchulus_latispiculum.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trissonchulus_latispiculum/PRJNA953805
GCA_030248245.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trissonchulus_wlg14/PRJNA953805/trissonchulus_wlg14.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trissonchulus_wlg14/PRJNA953805/trissonchulus_wlg14.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/trissonchulus_wlg14/PRJNA953805
GCA_012064415.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/gyrodactylus_bullatarudis/PRJNA532341/gyrodactylus_bullatarudis.PRJNA532341.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/gyrodactylus_bullatarudis/PRJNA532341/gyrodactylus_bullatarudis.PRJNA532341.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/gyrodactylus_bullatarudis/PRJNA532341
GCA_000715275.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/gyrodactylus_salaris/PRJNA244375/gyrodactylus_salaris.PRJNA244375.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/gyrodactylus_salaris/PRJNA244375/gyrodactylus_salaris.PRJNA244375.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/gyrodactylus_salaris/PRJNA244375
GCA_001188465.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/macrostomum_lignano/PRJNA284736/macrostomum_lignano.PRJNA284736.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/macrostomum_lignano/PRJNA284736/macrostomum_lignano.PRJNA284736.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/macrostomum_lignano/PRJNA284736
GCA_002269645.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/macrostomum_lignano/PRJNA371498/macrostomum_lignano.PRJNA371498.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/macrostomum_lignano/PRJNA371498/macrostomum_lignano.PRJNA371498.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/macrostomum_lignano/PRJNA371498
GCA_001039655.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/romanomermis_culicivorax/PRJEB1358/romanomermis_culicivorax.PRJEB1358.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/romanomermis_culicivorax/PRJEB1358/romanomermis_culicivorax.PRJEB1358.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/romanomermis_culicivorax/PRJEB1358
GCA_030248115.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/linhomoeus_gsco22/PRJNA953805/linhomoeus_gsco22.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/linhomoeus_gsco22/PRJNA953805/linhomoeus_gsco22.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/linhomoeus_gsco22/PRJNA953805
GCA_030248085.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/paralinhomoeus_gsco26/PRJNA953805/paralinhomoeus_gsco26.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/paralinhomoeus_gsco26/PRJNA953805/paralinhomoeus_gsco26.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/paralinhomoeus_gsco26/PRJNA953805
GCA_030248065.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/rhynchonema_jsb14/PRJNA953805/rhynchonema_jsb14.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/rhynchonema_jsb14/PRJNA953805/rhynchonema_jsb14.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/rhynchonema_jsb14/PRJNA953805
GCA_030248135.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/theristus_lff411/PRJNA953805/theristus_lff411.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/theristus_lff411/PRJNA953805/theristus_lff411.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/theristus_lff411/PRJNA953805
GCA_000236345.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/clonorchis_sinensis/PRJDA72781/clonorchis_sinensis.PRJDA72781.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/clonorchis_sinensis/PRJDA72781/clonorchis_sinensis.PRJDA72781.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/clonorchis_sinensis/PRJDA72781
GCA_004794785.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/opisthorchis_felineus/PRJNA413383/opisthorchis_felineus.PRJNA413383.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/opisthorchis_felineus/PRJNA413383/opisthorchis_felineus.PRJNA413383.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/opisthorchis_felineus/PRJNA413383
GCA_000715545.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/opisthorchis_viverrini/PRJNA222628/opisthorchis_viverrini.PRJNA222628.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/opisthorchis_viverrini/PRJNA222628/opisthorchis_viverrini.PRJNA222628.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/opisthorchis_viverrini/PRJNA222628
GCA_013407085.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/atriophallophorus_winterbourni/PRJNA636673/atriophallophorus_winterbourni.PRJNA636673.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/atriophallophorus_winterbourni/PRJNA636673/atriophallophorus_winterbourni.PRJNA636673.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/atriophallophorus_winterbourni/PRJNA636673
GCA_900618425.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinostoma_caproni/PRJEB1207/echinostoma_caproni.PRJEB1207.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinostoma_caproni/PRJEB1207/echinostoma_caproni.PRJEB1207.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinostoma_caproni/PRJEB1207
